"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"51258_at",-0.123449390145933,7.88205367524355,-4.10106904661999,4.90462307335656e-05,0.0364373991863748,1.7452052044603
"11161_at",-0.0904476542992166,8.7844549330605,-4.10011751560237,4.92407962706819e-05,0.0364373991863748,1.7416138505217
"28720_at",-0.201575471842349,12.2196299768517,-4.09948265471571,4.93710183623689e-05,0.0364373991863748,1.73921812906324
"4048_at",0.140464693085496,9.15625051129762,4.09897489443314,4.94754053924095e-05,0.0364373991863748,1.73730228286168
"200350_at",-0.162113792190459,4.88396457083601,-4.07597039845944,5.44312190484279e-05,0.0391094946816497,1.65073305763644
"100126313_at",0.102594392534347,5.7937584663844,4.066567330506,5.65898226005815e-05,0.0392663818344815,1.61547748719878
"283989_at",-0.0736491179695775,6.61760111096807,-4.05990587852245,5.81680252631969e-05,0.0392663818344815,1.59054676675364
"92285_at",-0.0985885444721844,6.15717786849949,-4.054176924285,5.95586738626239e-05,0.0392663818344815,1.56913615956968
"28626_at",-0.154569738184445,10.3226730040346,-4.05246129960038,5.99812343443995e-05,0.0392663818344815,1.5627298560293
"4205_at",0.0854301926560847,7.76351641731381,4.02672391993131,6.66724793489674e-05,0.0426384695259866,1.46692502022801
"7372_at",-0.0598200283962781,5.46857018714856,-4.01445413857351,7.01063942627621e-05,0.0426384695259866,1.42145076285486
"55030_at",0.0708630527754477,6.81883989432808,4.01344245833686,7.03969013243654e-05,0.0426384695259866,1.41770700587735
"51253_at",-0.0758859753653217,8.48168612218631,-4.01162456109819,7.09217898358174e-05,0.0426384695259866,1.41098201049498
"79772_at",0.0964945805197619,7.47329737195792,4.00598358009285,7.25742824010727e-05,0.042759315705064,1.3901321367559
"8935_at",0.143555937686395,8.25183762506336,4.00046473543967,7.42263139535301e-05,0.0428751565246479,1.36975998762105
"26996_at",0.126045137245249,6.20108281538102,3.98432135025436,7.92660385016973e-05,0.0449057351581058,1.31031798659671
"28710_at",-0.177195119195915,8.75253950133216,-3.9704936360763,8.38393151526807e-05,0.0459263795056257,1.2595797040745
"54921_at",-0.0512253703183432,8.25671826703832,-3.96444312831437,8.59181389104709e-05,0.0459263795056257,1.23742990445086
"163087_at",-0.0904530628182071,7.0578378673855,-3.96303739126239,8.64080680788409e-05,0.0459263795056257,1.23228824334691
"55545_at",-0.125995822871885,5.60984183793753,-3.95377648173945,8.9702503368864e-05,0.0459263795056257,1.198457572725
"8876_at",0.247953296089831,7.71276714366985,3.94930675540586,9.13348137131325e-05,0.0459263795056257,1.18215566204278
"79064_at",-0.0807658431516337,7.5989443846642,-3.94824123049388,9.17280699255838e-05,0.0459263795056257,1.1782720231614
"126767_at",0.128694436104923,3.76369953192341,3.94374062555809,9.34068935973933e-05,0.0459263795056257,1.16187888997078
"9861_at",0.0651238345130817,6.84883467178252,3.94338816931691,9.35395896105619e-05,0.0459263795056257,1.16059582589003
"84939_at",-0.0609871252400337,5.51715211817071,-3.93684846706659,9.6034363560488e-05,0.0463783002644003,1.13680833189352
"3811_at",-0.184579694188339,5.30426956800008,-3.91925565555382,0.000103062344181721,0.04833128223775,1.07299827361904
"54509_at",-0.089001997026294,9.05335587830281,-3.91853683252072,0.000103359611017966,0.04833128223775,1.07039670918556
"1352_at",-0.0642723512860163,7.14439133663331,-3.91345109759457,0.000105486112110269,0.0485549277602564,1.05200308160947
"10625_at",0.08703600817638,8.51057407435674,3.90780256350918,0.000107896473958675,0.0488855834528038,1.031599991447
"140564_at",-0.0953060739409733,8.08730476573976,-3.90405721091446,0.000109523354760347,0.0488855834528038,1.01808649185682
"8754_at",0.0945390349774802,6.07431976828432,3.89038728564456,0.000115660433819784,0.0501572582438747,0.968866654867961
"10557_at",-0.0498915272696669,6.87909593408104,-3.88945867825805,0.000116088922437012,0.0501572582438747,0.965528940918224
"6374_at",0.199857669455572,6.19196536520702,3.88578682671311,0.000117797988459179,0.0501572582438747,0.95233838288385
"23243_at",0.122684577818043,6.71863608930738,3.88231667141582,0.000119435034497431,0.0501572582438747,0.939883038805674
"7621_at",-0.06980114479859,6.60805445954513,-3.87927946376681,0.000120885479320924,0.0501572582438747,0.928990158906852
"23508_at",-0.13288868722157,7.66895034403527,-3.8708715477171,0.000124988166687706,0.051139255589627,0.898876724834293
"11020_at",-0.0605043312907334,5.56666774405311,-3.854759663892,0.000133220723323084,0.0512990389237248,0.841341038471318
"23649_at",-0.0682929710544467,6.6825516683797,-3.85443053056923,0.000133394124333163,0.0512990389237248,0.840168029266737
"105372482_at",-0.0837733785343853,5.67202864256326,-3.84888966801786,0.000136345505948172,0.0512990389237248,0.820434768645103
"101060544_at",0.135515079979995,3.98073695235415,3.84536533758344,0.000138254770825706,0.0512990389237248,0.807896955593507
"339201_at",-0.0707339679809632,7.25789956238876,-3.84491237188081,0.000138501984460607,0.0512990389237248,0.806286305092503
"84669_at",0.0659975623383288,8.71887982465136,3.84159385225929,0.00014032590686684,0.0512990389237248,0.794491740595702
"3115_at",-0.131981549672194,11.1343194367467,-3.83623483112976,0.000143319337192824,0.0512990389237248,0.775464933428204
"919_at",-0.108158949331259,8.8509050832291,-3.83480915879361,0.000144125789723314,0.0512990389237248,0.770407357654348
"79228_at",-0.0585952383582367,7.16306842053721,-3.83053461945372,0.000146569524947476,0.0512990389237248,0.755253921598676
"513_at",-0.099683965595108,8.67378399691348,-3.8296837007605,0.000147060640855232,0.0512990389237248,0.752239256172839
"4001_at",0.109937869410241,7.05483485286469,3.82870719092102,0.000147626158751377,0.0512990389237248,0.748780411209336
"6302_at",-0.0780994534153404,8.08723429706978,-3.82842742536561,0.000147788555267211,0.0512990389237248,0.74778961963691
"105369595_at",0.174109847549185,5.85478080072847,3.82783484936308,0.000148133087507278,0.0512990389237248,0.74569123065395
"203068_at",-0.0715851861991135,9.96652918347706,-3.82258922281937,0.000151216235103977,0.0512990389237248,0.727128987219879
"23287_at",0.0969941226807552,8.54689456325268,3.82058331789005,0.000152411160878054,0.0512990389237248,0.720037138329856
"6655_at",0.0919644138994396,9.38771359670002,3.81569929658294,0.000155357996143202,0.0512990389237248,0.702784263905365
"811_at",-0.0870504696788978,10.5614433221263,-3.81323806256179,0.000156863325031113,0.0512990389237248,0.694097719096611
"28658_at",-0.154185747918293,5.89457808042963,-3.80986473646424,0.000158948892386728,0.0512990389237248,0.682200579005221
"100233209_at",-0.117658983242215,8.18864492354694,-3.80786185571488,0.00016019953826466,0.0512990389237248,0.675141410553665
"134429_at",-0.0980796232059457,5.20500531338835,-3.80785138184272,0.000160206102752391,0.0512990389237248,0.675104504412861
"8666_at",-0.0833635260678225,9.42477927041199,-3.79966554569365,0.00016541497225508,0.052397415781316,0.646289538599118
"79685_at",0.0556523459468393,7.25030063542791,3.78035023676474,0.000178346584684722,0.0558926812577366,0.578527128522761
"101928461_at",0.107743460119831,3.73499712751216,3.77661184487618,0.000180957178041201,0.0560306340074648,0.565449259370563
"114836_at",-0.119467185688887,9.4744261596286,-3.77119866507209,0.000184801273605763,0.0560306340074648,0.54653396415445
"6868_at",0.0937488412151496,7.20885160204983,3.77053779295391,0.000185275824145097,0.0560306340074648,0.54422641200396
"51100_at",0.0893053136601849,8.2160477243344,3.76898588282239,0.000186394722588396,0.0560306340074648,0.538809127873451
"64167_at",0.184831749812829,7.72703659202367,3.76415444244718,0.00018991904733199,0.0564780303661633,0.521957261160382
"728411_at",-0.118876295358127,6.13410724300415,-3.76124005962595,0.000192075251393411,0.0564780303661633,0.511801778957278
"490_at",0.0864576485664205,8.43567376286985,3.75675144403047,0.000195441358972472,0.0564780303661633,0.496175091073365
"917_at",-0.157359719433582,10.2708717235183,-3.75253832059613,0.000198651408547784,0.0564780303661633,0.481523370121645
"663_at",0.0826763478572056,8.028455382025,3.75100419264076,0.00019983258261721,0.0564780303661633,0.476192044155934
"128646_at",0.094653261248285,7.7893348884744,3.74950768625938,0.000200991167645428,0.0564780303661633,0.470993422362713
"7535_at",-0.0997063570600099,8.55475100284897,-3.74910593738293,0.000201303275346996,0.0564780303661633,0.46959814175319
"317648_at",-0.0688077799367065,6.64999507018368,-3.74649993619725,0.000203338926640819,0.0565109569803009,0.46055084970771
"6543_at",0.177696646957378,5.11092393115363,3.73773979546724,0.000210324977340562,0.057468594290322,0.430181264617088
"28624_at",-0.127830448608998,9.95716122423082,-3.73729419049276,0.000210686316010549,0.057468594290322,0.428638221854346
"8578_at",0.105483716539388,7.12431091709617,3.73464494738544,0.000212846679531306,0.0575252324065389,0.41946796418001
"3964_at",0.0757664552831951,8.40103645503731,3.71289459951529,0.00023138926984312,0.0609775006117683,0.34440997275128
"5338_at",0.0703559028485206,6.27458105449077,3.70742526745866,0.000236285778106669,0.0609775006117683,0.325600491405983
"9969_at",0.0432912270703059,8.82116341223745,3.70542235617604,0.000238103197448308,0.0609775006117683,0.318718809383983
"4351_at",-0.0678678427104887,7.46269051691545,-3.7051528112705,0.000238348781839647,0.0609775006117683,0.317792962129316
"100507299_at",-0.080887293418794,5.33985298966211,-3.69841648910414,0.000244564305277807,0.0609775006117683,0.294675166713408
"100505741_at",0.105494357063677,4.07353867484576,3.69512034067038,0.000247660914523113,0.0609775006117683,0.28337775870687
"155_at",0.115818999110585,4.54403411924576,3.69468632408988,0.000248071395681776,0.0609775006117683,0.281890888363587
"80254_at",0.089073878863883,7.46186483095818,3.69382639387608,0.000248886586365858,0.0609775006117683,0.278945390236222
"967_at",0.070034629283325,7.43051951011609,3.69366132883502,0.000249043351719534,0.0609775006117683,0.278380070421085
"28706_at",-0.148468992361893,9.32450777113007,-3.69258036122777,0.000250072266101843,0.0609775006117683,0.274678524326454
"439994_at",0.098526300702903,6.64471720144493,3.69034448211877,0.000252213186692815,0.0609775006117683,0.267025447562697
"56099_at",-0.108722555719363,4.42444889100883,-3.6861595635495,0.000256266803120227,0.0609775006117683,0.252712774023131
"28714_at",-0.145433359386143,8.47597085860069,-3.68227587683418,0.000260083411103711,0.0609775006117683,0.239443944728986
"26051_at",-0.0676777858466034,7.72086313552729,-3.68076634312856,0.000261581254239179,0.0609775006117683,0.234290077156287
"54874_at",0.115460260428956,4.82931255907321,3.68024080400467,0.000262104625102515,0.0609775006117683,0.232496240103703
"7076_at",0.0858086301735684,9.06567264275645,3.67818015553759,0.000264166291141245,0.0609775006117683,0.225464888331667
"442361_at",0.212887200701641,3.99888629987056,3.67751895463418,0.000264831044839072,0.0609775006117683,0.223209518485128
"10450_at",-0.0700359882905983,6.50513018641155,-3.67363902319081,0.000268763641726631,0.0609775006117683,0.209982650960788
"51693_at",-0.055032537884041,6.50406315096452,-3.67309273435085,0.000269321736936801,0.0609775006117683,0.208121377863799
"147081_at",-0.0683422153614821,5.25343929037129,-3.67034643406025,0.00027214394214671,0.0609775006117683,0.198768326996023
"55218_at",-0.0744958857341171,5.04036000478787,-3.66667592906327,0.000275959342373767,0.0609775006117683,0.186277960968103
"28623_at",-0.110268801530186,8.41746434806945,-3.66647697004494,0.000276167585921253,0.0609775006117683,0.185601257849692
"55168_at",-0.0610526266192653,7.80323892055343,-3.66527688086127,0.000277426815166785,0.0609775006117683,0.181520222332839
"6416_at",0.08197365275525,6.93153584554114,3.66252607113459,0.000280333584910346,0.0609775006117683,0.172170517467862
"107985287_at",0.048606006358386,2.49865219943734,3.66106781881756,0.000281886104786207,0.0609775006117683,0.167216745210464
"105376325_at",-0.069529418058796,5.4313693216898,-3.65953160580152,0.000283530366843473,0.0609775006117683,0.16200013675628
"106144535_at",-0.111019363922515,3.34596533852525,-3.65950654464288,0.000283557265272875,0.0609775006117683,0.161915052134339
"58160_at",0.169068806069833,7.63853277687169,3.65948744015764,0.000283577771947868,0.0609775006117683,0.161850191258274
"27300_at",-0.0594197989155488,5.66942639478137,-3.65536634108477,0.00028803408074185,0.0611471273991955,0.147866235318722
"9697_at",-0.0711968369755446,7.24528330575593,-3.65353718287689,0.000290033043763632,0.0611471273991955,0.141664163769833
"80896_at",0.0893859712000318,8.13302832092038,3.65302634132612,0.000290593633045499,0.0611471273991955,0.139932588914137
"100423002_at",-0.126305606116434,4.9155588925788,-3.64902935862552,0.000295015149550213,0.0614296275987542,0.126392051760267
"23355_at",0.0916374673092397,7.30921257899769,3.64805128675839,0.000296106694695105,0.0614296275987542,0.123080765674821
"79892_at",0.0563387928440048,7.87470093436323,3.63952697145681,0.000305781981470679,0.0620368010601259,0.0942567530951415
"28680_at",-0.133952819137479,6.73955524717702,-3.63878424579783,0.000306638912689186,0.0620368010601259,0.0917483068951928
"5627_at",0.149069920163979,4.6288813046594,3.63821897190272,0.000307292617784645,0.0620368010601259,0.0898394998167662
"9218_at",0.0745273486685338,8.10773201648995,3.63807708689454,0.000307456904673559,0.0620368010601259,0.0893604286810881
"516_at",-0.0928668240906213,8.47776152291685,-3.63218686827105,0.000314350397124185,0.0621392183368152,0.0694877304940933
"28638_at",-0.175943530316248,12.4853314297068,-3.63109883063813,0.000315639540955225,0.0621392183368152,0.0658201651404147
"571_at",0.0660167779858248,8.40053754548613,3.62978027315249,0.000317208468371089,0.0621392183368152,0.0613769442661658
"1432_at",0.0815571390164113,9.24530681148623,3.62808795904661,0.00031923285732825,0.0621392183368152,0.055676473775871
"55179_at",-0.116996016743267,4.36036211305887,-3.62649240251622,0.000321152610859096,0.0621392183368152,0.0503042119716142
"6249_at",0.0849901131813213,7.41523433544645,3.6250929271955,0.000322845362900028,0.0621392183368152,0.0455939849865583
"57568_at",0.141743339146822,6.83990175323965,3.62431903002195,0.000323785033996181,0.0621392183368152,0.0429900051535963
"55370_at",0.108981426741191,6.32731197821384,3.62293597449292,0.000325470749365472,0.0621392183368152,0.0383376525885746
"9168_at",-0.111052471486418,10.7643219854888,-3.61980372695335,0.000329318957666014,0.0621392183368152,0.0278074941292257
"8861_at",-0.0536514795785877,9.8259208505472,-3.61913128205939,0.000330150660077849,0.0621392183368152,0.0255479479353493
"342909_at",-0.100459445517245,5.40351250041896,-3.61831147518803,0.000331167292809667,0.0621392183368152,0.0227937700348395
"22845_at",-0.0567980009726411,6.81954178893793,-3.61177940000201,0.000339373295860709,0.0624385079905496,0.00086990939668663
"286128_at",-0.0557466047821796,6.2391904181949,-3.61107304929336,0.000340272005543411,0.0624385079905496,-0.00149861367761073
"57472_at",0.0551642766977812,7.29432769572441,3.61067338999442,0.000340781492394979,0.0624385079905496,-0.00283855160015101
"283547_at",-0.0930394000832677,3.64054599107788,-3.61031391743859,0.00034124036072095,0.0624385079905496,-0.0040436363935461
"55028_at",-0.0588814054033505,5.66627144587332,-3.60865585343487,0.00034336440451278,0.0624393332872962,-0.00960062037801013
"23180_at",-0.0662441742703763,7.58372796470511,-3.60509659860755,0.000347965931915835,0.0628879042227521,-0.0215213252242883
"220729_at",-0.0717284180666274,8.11702463599168,-3.60344407801131,0.00035012198541481,0.0628917290752128,-0.0270522125354073
"26048_at",-0.0586022233642583,6.12039890353175,-3.59488439166357,0.000361491963914763,0.0645405561513031,-0.0556628263358743
"7867_at",-0.0514332092258822,8.35282276902208,-3.58717346556908,0.000372030273184358,0.0658607851472209,-0.0813817105005752
"10430_at",-0.0617099849036829,7.3808289628481,-3.58621659063685,0.000373357925237988,0.0658607851472209,-0.0845696326550538
"5245_at",-0.05200327439872,7.14284251617688,-3.58306552118881,0.00037776147778619,0.0662409248458534,-0.0950620749682729
"440518_at",0.106742054128822,4.70359186895694,3.57945608580561,0.00038286543065899,0.0664448297682629,-0.107070128174557
"4780_at",0.0524626132379079,8.6905136820533,3.57905587433981,0.000383435318938345,0.0664448297682629,-0.108400871076883
"27335_at",-0.071118754705502,9.47859400069274,-3.57546010431367,0.000388591381638493,0.0664759949855499,-0.120350886595952
"102724297_at",0.255796028644504,4.83268158739368,3.57412842756416,0.000390517348949148,0.0664759949855499,-0.124773652516102
"740_at",-0.0514041085019523,7.47925072950321,-3.57404430758342,0.000390639309411466,0.0664759949855499,-0.12505297982674
"28719_at",-0.148211362954964,9.95616499010367,-3.57172729064174,0.000394012684916586,0.0664759949855499,-0.132744393944071
"222068_at",-0.0504120845508685,8.40161711618819,-3.5711223142407,0.000394897964033784,0.0664759949855499,-0.134751860555617
"11164_at",0.0906235869089715,7.82282817352061,3.56650306692089,0.000401719176504687,0.0670616171375025,-0.150069159052452
"159125_at",-0.101993701973334,2.62336296114797,-3.56445656784567,0.00040477640008092,0.0670616171375025,-0.156849331575119
"107986197_at",-0.096461633963654,3.24420318266788,-3.56159292189834,0.000409090967267375,0.0670616171375025,-0.166330612928293
"11264_at",-0.049509624950225,5.91278542029791,-3.5603143224954,0.000411031280322691,0.0670616171375025,-0.170561628109374
"8800_at",-0.121320918387915,4.27439865657516,-3.56013163825193,0.000411309212341524,0.0670616171375025,-0.171166032083809
"57161_at",0.0680469753555512,8.05558323969867,3.55893323378725,0.000413136812151855,0.0670616171375025,-0.175130184617834
"2948_at",-0.19405208409671,6.83333176117731,-3.55754806242798,0.000415258718050226,0.0670616171375025,-0.179710570688834
"7596_at",-0.0580220390706128,5.74416427109718,-3.55561978756893,0.000418229598656599,0.0670616171375025,-0.186084058569345
"28609_at",-0.135518835462408,7.16949560294255,-3.55520918384565,0.000418864779975575,0.0670616171375025,-0.187440798733531
"80310_at",-0.118813671331388,5.23055833704328,-3.55177869023925,0.000424207000702376,0.067366772742339,-0.198770267186088
"9410_at",-0.0657242909460867,6.81427260908389,-3.54713368297857,0.000431542346584847,0.067366772742339,-0.214094350712283
"100131067_at",-0.0697544342480983,5.29239386035857,-3.54696749410364,0.000431806979185871,0.067366772742339,-0.214642265301763
"120379_at",0.0622632363583142,2.47454072730664,3.54625233539275,0.000432947505358764,0.067366772742339,-0.216999824177084
"10067_at",-0.0527749096475568,7.07929704941959,-3.54521615992302,0.000434604992411194,0.067366772742339,-0.220414837872169
"28691_at",-0.125396783134734,7.6570830263514,-3.54409104663296,0.00043641147662764,0.067366772742339,-0.224121907579197
"28728_at",-0.129529883018513,9.14712731153587,-3.5438630800567,0.000436778356148775,0.067366772742339,-0.224872886278303
"11275_at",0.106914496854852,7.29905188838368,3.54223957161999,0.000439399527461722,0.0674180764557024,-0.230219812071282
"79836_at",0.0780521517998101,5.37723789694182,3.5374252081645,0.000447259257124363,0.0682684479566145,-0.246062058043305
"9732_at",0.162521621538398,6.93065817657747,3.53421915676198,0.000452566151348947,0.068459340633227,-0.256600701996816
"121274_at",-0.11987231755689,7.86895575510696,-3.53314882620062,0.000454350930889554,0.068459340633227,-0.260116992412327
"221504_at",-0.0406588478360612,5.88084336350991,-3.53227114892968,0.00045581937639163,0.068459340633227,-0.262999622333103
"96459_at",0.0760666862614151,8.47028638002024,3.53108830533121,0.000457805428043916,0.068459340633227,-0.266883468665934
"105376745_at",0.163115535487742,2.89117504875093,3.52884223943409,0.000461599000489451,0.0686780048253472,-0.274255014235107
"100422896_at",0.231225331972197,4.9689024958176,3.5225383293545,0.000472404026944446,0.0695312304472282,-0.294920720419763
"55659_at",-0.0832153513119903,5.29053594458565,-3.52215125447775,0.000473075136097741,0.0695312304472282,-0.296188508768161
"51209_at",-0.0908175176406027,3.93901514426388,-3.52116108142906,0.00047479595846201,0.0695312304472282,-0.299431030224756
"266655_at",-0.0512169610323392,6.51070366241208,-3.51713127011164,0.000481859994925031,0.0695312304472282,-0.312618596963921
"219_at",-0.0571806760567056,5.47784432362785,-3.51596211347026,0.000483927797103158,0.0695312304472282,-0.316442001210437
"81854_at",-0.0763483145127334,5.4034511629862,-3.5159256148549,0.000483992483016623,0.0695312304472282,-0.316561340578261
"5394_at",-0.0593031328632976,8.18511072050257,-3.51487747636699,0.00048585353851591,0.0695312304472282,-0.319987936321795
"10154_at",0.0728906869211677,10.1652942852736,3.51452756787539,0.000486476319160681,0.0695312304472282,-0.321131649913924
"3560_at",-0.127039902610218,9.18062646316858,-3.51244710147132,0.000490194666112492,0.0695312304472282,-0.327929662320796
"4898_at",0.0632130380742253,9.03763301015653,3.51203384856652,0.000490936417835753,0.0695312304472282,-0.329279532060961
"2632_at",0.0884359161532759,5.86038823320951,3.50861541352245,0.000497112600767453,0.0700690914163081,-0.340439935785083
"105379330_at",0.106609765094176,3.20322256311485,3.50686468859812,0.000500303761853022,0.0701387434912905,-0.346151682417839
"84928_at",-0.0707096906545108,7.26136045018003,-3.50573747362646,0.000502368541928182,0.0701387434912905,-0.349827803174794
"106481190_at",0.113622804023511,4.2818850101452,3.50289215753542,0.000507615973146949,0.0702498691254914,-0.359102111204414
"118429_at",0.0750337258583039,9.35005321104714,3.50272070152683,0.000507933810507135,0.0702498691254914,-0.359660745261967
"2323_at",-0.104217815269152,9.54513164738674,-3.49929335246379,0.000514326460501404,0.070515693681488,-0.370822246509692
"55711_at",0.118731764080226,7.18964079136344,3.49912457192947,0.000514643203826332,0.070515693681488,-0.371371630813405
"22954_at",-0.0777616288751146,5.85622771202348,-3.49666475757704,0.000519280188193809,0.0705207105897756,-0.379375543828835
"27197_at",-0.152213849850596,3.44109449579216,-3.49656580521317,0.000519467537865552,0.0705207105897756,-0.379697410767849
"31_at",-0.0460741922841657,5.36856273266605,-3.49515643658747,0.000522142811877745,0.0705587389683784,-0.384280796870155
"10011_at",0.0542873706047955,6.71238485578345,3.49297633786439,0.000526306484098982,0.0707966334021548,-0.391367229474556
"23161_at",0.0908956192874917,7.24961054302961,3.49159681732026,0.00052895718544673,0.07082977148216,-0.395849220273342
"5704_at",-0.0571920084327726,8.32976420362324,-3.48730746433135,0.000537278996495842,0.0716185608948915,-0.409774436263917
"100128590_at",0.13634497845438,3.09111288069796,3.48262459507728,0.000546503949824466,0.0725200894499052,-0.424958747780732
"28601_at",-0.118124790676792,7.19591211124935,-3.47921097481628,0.00055332163888548,0.0728522892558792,-0.43601535796739
"7099_at",0.089541686422074,10.0745658071298,3.4788966519801,0.000553953385835124,0.0728522892558792,-0.437032925449645
"154810_at",0.0874687111417991,5.09297346085727,3.47424708777176,0.00056337748300557,0.0737623878749382,-0.452074975978407
"7544_at",0.0618868237281853,2.97858737725414,3.4714098277492,0.000569201650044098,0.0740499760768336,-0.461244617325595
"51232_at",-0.0974837097396917,5.20788061767984,-3.47073201382968,0.000570601329625623,0.0740499760768336,-0.463434173980025
"126282_at",-0.053811591123676,6.02399425450027,-3.46657706149176,0.000579251791202736,0.0747785951157354,-0.476847184252543
"9159_at",-0.0639445540255136,8.0178232502345,-3.46560529087149,0.000581292585678516,0.0747785951157354,-0.479982063979076
"23357_at",-0.0574068750147691,7.05578307472978,-3.4631269119143,0.000586527827207681,0.0750491570457462,-0.487973424310265
"57713_at",-0.0712947779022461,7.24773676309101,-3.46220288202351,0.000588490962950792,0.0750491570457462,-0.490951512940364
"661_at",-0.0599360854545825,6.68300134177151,-3.4609727810817,0.000591113882954801,0.0750587236119202,-0.494914884419677
"57121_at",-0.0751178301612202,8.07392758731414,-3.45815122870178,0.000597171528967406,0.0752166491614559,-0.504000870812011
"81554_at",-0.0447051709070511,6.34226169122262,-3.45801561621629,0.000597464133330414,0.0752166491614559,-0.504437395017324
"143879_at",-0.0551901735126294,5.20861815532465,-3.45637313947407,0.000601018672659045,0.0752759324538645,-0.509723094044169
"84641_at",0.129316345388366,8.84200038637105,3.4546243834321,0.000604824916616621,0.0752759324538645,-0.515348206686032
"9892_at",0.0662103895210555,3.69166327770898,3.4542691384105,0.000605600868718079,0.0752759324538645,-0.51649057226399
"28698_at",-0.15605572071629,8.29856215222246,-3.45219069802031,0.000610159412384391,0.0754045305344809,-0.523172013757034
